case_id,source_dataset,tau_memb_s,k_mem_eff,current_A,egr_fraction,status,message,mMem_sign_changes_last,mMem_last_range_kg_s,mMem_last_mean_kg_s,lambda_m_last_range,a_memb_last_range,abs_mMem_over_prod
cegr0608_003,cegr_0608_txt,10,0.1,38,0.2858217391,ok,,200,0.000136309247534283,-1.52627625600646e-05,0.136440782354866,0.00439783128827831,1.19479990855967
cegr0608_004,cegr_0608_txt,10,0.1,38,0.3707279438,ok,,200,0.000132876710304191,-1.5400286787564e-05,0.152938945126031,0.00483420002361967,1.16308036307151
cegr0608_005,cegr_0608_txt,10,0.1,38,0.4680959866,ok,,200,0.000134030562984953,-1.53503223385172e-05,0.124477423018208,0.00395607807647547,1.17452897485806
cegr0608_006,cegr_0608_txt,10,0.1,38,0.5478621762,ok,,200,0.000145673699030347,-1.5432959880366e-05,0.0536774916371296,0.00182417990655215,1.28074378186348
cegr0608_007,cegr_0608_txt,10,0.1,38,0.6205626263,ok,,200,0.000140511445451713,-1.57509390217536e-05,0.07371851426206,0.00241238556285528,1.23437528940323
cegr0608_008,cegr_0608_txt,10,0.1,38,0,ok,,200,0.000169596133133831,-1.5037377299107e-05,0.38130385683055,0.0129110253084016,1.23105925565748
cegr0608_009,cegr_0608_txt,10,0.1,38,0.05314808853,ok,,200,0.000119707305297228,-1.72368476806653e-05,0.225866518210196,0.00672705918307137,1.03592610877406
cegr0608_010,cegr_0608_txt,10,0.1,38,0.1952558824,ok,,200,0.000135220983526942,-1.64717889264469e-05,0.0980620737238418,0.00313321398678934,1.18571775420021
cegr0608_011,cegr_0608_txt,10,0.1,38,0.2190877358,ok,,197,0.000166408637381377,-1.60780969242275e-05,0.851137123017919,0.0286118708967541,1.24540616497203
cegr0608_012,cegr_0608_txt,10,0.1,38,0.2303416667,ok,,199,0.000163502812134157,-1.5938454790252e-05,0.947735794321199,0.0321798506470139,1.2652489875023
cegr0608_013,cegr_0608_txt,10,0.1,38,0,ok,,200,0.000161011256098988,-1.61613686309713e-05,0.409144383149428,0.013751580152965,1.21979599345647
cegr0608_014,cegr_0608_txt,10,0.1,38,0.1489428571,ok,,200,0.000156503480325908,-1.57602395245808e-05,0.0748960186069354,0.00252324156145212,1.25618700628256
cegr0608_015,cegr_0608_txt,10,0.1,20,0.4261,ok,,200,0.00043115863728379,-1.85648212139763e-05,0.0302348871230596,0.00483972394901422,6.83461532582243
cegr0608_016,cegr_0608_txt,10,0.1,20,0,ok,,200,0.000402299288945295,-1.19397398437393e-05,2.24091493306075,0.186115397087608,4.18772454168668
initial_noegr_01,initial_noegr_steady_xlsx,30,0.1,38,0,ok,,0,8.88862601004571e-08,-2.05381617901055e-05,0.326784316503403,0.00824975089099866,0.361833078103959
initial_noegr_02,initial_noegr_steady_xlsx,30,0.1,76,0,ok,,0,1.57692733683803e-08,-1.73074144903629e-05,0.477315132798765,0.0125882576249311,0.152457535466637
initial_noegr_03,initial_noegr_steady_xlsx,30,0.1,114,0,ok,,0,7.47224308923972e-09,-1.911156919013e-05,0.27873568260279,0.00748985817563896,0.112233314388649
